"pid","index","RT","length","content","eval","meaningful","engagement"
"131",3,92.25,163,"['one', 'The adjacent node', 'Not really', ""I didn't spend enough time planning"", 'decide on a maximum amount of outlay before starting.', '3', '3 different directions', '3 different directions', '",2,TRUE,1
"131",6,106.99,341,"', '4 or 5', 'At the end terminal of each route', 'I think the final end point node has the potential to have the highest rewards now.', 'I had a better chance of finding the maximum reward node.', 'Reveal the nodes at the ends of each route first to determine which route to pick.', '4 or 5', 'Ends of the routes', 'Find the highest scoring end node to determine my route.', '",3,TRUE,2
"131",9,94.53,221,"', '6 or 7', 'At the end nodes', 'Look for the highest value nodes', 'The values were generally lower this round perhaps?', 'Not sure any more!', 'Maximum 6', 'Ends of routes and intersections of routes', 'Picking the intersection nodes to reveal values', '",2,TRUE,1
"131",12,99.24,251,"', '5 or 6?', 'I clicked on intersections as well as final nodes', 'Still looking for the most worthwhile higher scoring nodes', 'I think I was a bit unlucky perhaps?', 'Perhaps reveal at least 10 nodes first?', '8 to 10', 'Ends of routes', 'Pick the end nodes to reveal values first', '",2,TRUE,1
"131",15,106.73,342,"', '5 or 6 perhaps', 'Ends of routes', 'As soon as I located a score of 30 or more, I decided to make my way to that node', 'Finding a high enough value node at the end of the route compensates for negative scores along the way.', 'Look for a node with a 30 or higher score', 'As many as it takes to find a 30 + score', 'Ends of routes', 'Look for the high scoring end nodes', '",3,TRUE,2
"131",18,73.99,262,"', '8 to 10', 'Ends of routes', 'Still looking for the rare high value score', 'There are a lot of negative nodes out there!', 'Look for the highest value nodes at the ends of routes', 'As many as it takes to find a 30+ node', 'Ends of routes', 'Reveal ends of routes until I find a high score.', '",3,TRUE,1
"132",3,231.55,335,"['I did 1 on some rounds but on the last one i did i kept clicking until i found a postive value - i think it was 5 or 6 clicks', 'end of pathways', 'look for a positive value at the end of a path', 'i ended up with a positive value', 'check the end of pathways', 'as many as it takes to find a positive value', 'ends of pathways', 'I will click the end of pathways', '",3,TRUE,2
"132",6,111.86,214,"', 'as many as it took to find a positive value', 'end of pathways', 'i moved about', 'i was more successful than last time', 'check the ends of the pathways', 'asmany as i need to find a positive value', 'at the end of pathways', 'same as before', '",4,TRUE,1
"132",9,62.06,261,"', 'between 3 and 4 i think', 'at the end of the pathways\n', 'no i just kept moving about ', 'I did worse than last round', 'Keep checking the end of the pathway to find a positive value', 'the same again - as many as I need to find a positive value', 'at the end of pathways', 'same as before', '",3,TRUE,1
"132",12,58.18,237,"', 'between 2 and 6 i believe', 'at the end of the pathways', 'no just kept moving around', 'i increased my average from last time slightly', 'keep checking the end of pathways', 'same as before - until i get a positive value', 'at the end of pathways', 'same as before', '",4,TRUE,1
"132",15,71.32,294,"', 'too many - i was struggling to find a positive value', 'at the end of the pathways', 'no same as before', 'my average dropped significantly', 'use the end of pathways but sometimes positive values are hard to find', 'as many as i need', 'at the end of pathways', 'i will continue to look at the nods at the end of pathways', '",2,TRUE,2
"132",18,71.41,337,"', 'same as beofre as many as i needed to find a value I thought was worth getting', 'at the end of the pathways', 'no just kept hunting for the high values', 'I significantly increased my average but more by luck sometimes i feel!', 'keep checking the ends of pathways', 'as many as i need', 'at the end of pathways', 'dotted round the board but at the end of pathways', '",4,TRUE,2
