,scores,type
21,42.93004345149936,1
57,42.79929173305031,1
50,42.78621571136807,1
43,42.73646827951421,1
40,42.60492332291396,1
51,42.54248718342589,1
83,41.76907750038413,0
16,41.628250025657785,1
29,41.54132102522284,1
88,41.34834891869886,1
63,40.95554488433977,1
41,40.359458709449676,1
80,40.30778073861294,1
24,40.23599147498239,1
49,39.97140115258318,1
38,39.96157011767075,0
67,39.95333237199518,1
64,39.51666151558951,1
75,39.24976789647704,1
42,39.06906100651772,1
76,38.87399293436445,1
87,38.02470981084311,1
85,37.44687622090327,0
62,37.32090064605328,1
18,37.19481377229683,1
48,37.19003169522951,1
20,37.172645761042624,0
17,37.09399600416235,1
68,37.08316098965169,0
19,37.064142142482375,0
59,35.940281066274345,0
72,34.63600680774608,1
71,34.620461120955575,1
58,34.33582185426336,1
89,34.07362955526323,1
47,32.55143288611842,0
31,31.777371992824783,0
45,31.68237397261917,0
33,31.669760081894054,1
60,31.59130337626399,0
25,30.842388648768054,0
37,30.78953555258388,1
84,30.761816964885117,1
32,30.736556152554016,1
44,30.48465275355672,0
82,29.78653425074166,1
69,29.280671995575684,1
34,29.19580727751028,1
52,27.848760774003267,0
77,27.809819517450734,0
2,27.315106598700762,1
8,27.278816893029514,1
3,27.27627080275913,1
13,27.263040466222108,1
11,27.24917546890504,0
1,27.240264053441983,1
9,27.231340083315548,1
54,27.22970314907733,1
5,27.210906573412423,1
7,27.194969174636746,0
10,27.189639297750745,1
6,27.176725802582954,0
14,27.163752579907626,1
46,27.140590895127797,0
12,27.105939307329727,0
15,27.10444340294314,1
4,27.073438928735303,0
36,27.028488841692837,1
79,25.837830870303485,1
65,25.81156527644368,1
56,25.536042168330265,1
55,25.451634534972467,1
26,23.449974933915826,1
78,22.9177858678393,1
35,20.128104202604167,0
73,19.770500246470768,1
27,11.793174192390135,2
81,10.40034129277372,0
61,10.225748589198616,0
86,2.489936224077185,0
66,0.5980653037216369,2
74,0.4004819832707844,0
30,0.0,2
28,-0.6014985931666434,2
22,-1.0921226887099804,2
53,-1.3147085317428873,2
23,-2.155520435393759,2
70,-2.671896970277288,2
39,-16.4781,0
